Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2,fare_per_miles,cpi_adj,fare_real,fare_lg_real,fare_low_real
2022,1,30977,32211,"Chicago, IL","Las Vegas, NV",1521,3042,202.37,WN,0.3167,184.71,NK,0.15,124.16,3429260.0,0.7898,-0.01385,6299930.0,0.99,-0.0975,0.13305062458908612,99.9999998830022,202.37000023676842,184.71000021610664,124.16000014526445
2022,1,32575,34057,"Los Angeles, CA (Metropolitan Area)","Portland, OR",859,3031,185.54,AS,0.6288,183.98,WN,0.113,171.29,2062270.0,0.888139999999999,-0.0548,1865740.0,0.6854,0.0208,0.2159953434225844,99.9999998830022,185.5400002170777,183.98000021525252,171.2900002004055
2022,1,31650,31454,"Minneapolis/St. Paul, MN","Orlando, FL",1310,3014,196.46,DL,0.478,240.69,SY,0.3684,160.05,3358700.0,0.768,0.0196,7232690.0,0.9551,-0.0233,0.14996946564885497,99.9999998830022,196.46000022985388,240.69000028160198,160.05000018725497
2022,1,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2931,300.33,DL,0.5821,368.82,NK,0.1367,141.92,5324640.0,0.8866,0.1031,2062270.0,0.888139999999999,-0.0548,0.15425269645608627,99.9999998830022,300.33000035137945,368.82000043151123,141.92000016604325
2022,1,31295,32467,"Detroit, MI","Miami, FL (Metropolitan Area)",1145,2905,200.84,DL,0.579,239.73,NK,0.2462,121.32,2835510.0,0.7535,0.1007,4119170.0,0.9156,-0.03855,0.1754061135371179,99.9999998830022,200.84000023497836,239.73000028047878,121.3200001419417
2022,1,32467,34100,"Miami, FL (Metropolitan Area)","Philadelphia, PA",1013,2888,170.64,AA,0.7219,189.79,NK,0.1283,103.09,4119170.0,0.9156,-0.03855,2606160.0,0.7872,0.0448,0.16845014807502467,99.9999998830022,170.64000019964502,189.79000022205008,103.09000012061303
2022,1,31703,30466,"New York City, NY (Metropolitan Area)","Phoenix, AZ",2189,2886,262.49,AA,0.3553,264.13,B6,0.1223,219.57,1973783.33333333,0.848399999999999,-0.0558333333333333,3088330.0,0.9727,-0.19665,0.11991320237551394,99.9999998830022,262.4900003071075,264.13000030902623,219.57000025689203
2022,1,30977,31714,"Chicago, IL","Fort Myers, FL",1120,2875,223.68,AA,0.2969,230.24,NK,0.1254,141.72,3429260.0,0.7898,-0.01385,2740800.0,0.917,0.0409,0.19971428571428573,99.9999998830022,223.68000026170066,230.2400002693757,141.72000016580927
2022,1,30977,30194,"Chicago, IL","Dallas/Fort Worth, TX",801,2864,164.21,AA,0.4226,196.8,WN,0.3785,131.56,3429260.0,0.7898,-0.01385,3003365.0,0.7158,0.04475,0.20500624219725344,99.9999998830022,164.21000019212207,196.80000023025167,131.5600001539223
2022,1,30977,30325,"Chicago, IL","Denver, CO",895,2844,160.88,WN,0.3951,139.09,WN,0.3951,139.09,3429260.0,0.7898,-0.01385,6154490.0,0.9555,-0.0282,0.17975418994413409,99.9999998830022,160.88000018822603,139.09000016273222,139.09000016273222
2022,1,31295,31454,"Detroit, MI","Orlando, FL",957,2831,194.42,DL,0.5837,242.55,NK,0.2817,116.49,2835510.0,0.7535,0.1007,7232690.0,0.9551,-0.0233,0.2031556948798328,99.9999998830022,194.42000022746709,242.55000028377816,116.49000013629072
2022,1,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,2730,166.64,AA,0.3853,186.72,F9,0.1125,96.33,3003365.0,0.7158,0.04475,6154490.0,0.9555,-0.0282,0.2559754224270353,99.9999998830022,166.6400001949651,186.72000021845827,96.33000011270397
2022,1,31714,31650,"Fort Myers, FL","Minneapolis/St. Paul, MN",1416,2697,222.43,DL,0.5071,271.36,SY,0.4117,173.13,2740800.0,0.917,0.0409,3358700.0,0.768,0.0196,0.15708333333333332,99.9999998830022,222.4300002602382,271.36000031748523,173.13000020255828
2022,1,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2668,204.75,AA,0.4445,261.45,F9,0.1079,106.96,3003365.0,0.7158,0.04475,6299930.0,0.99,-0.0975,0.19189315838800375,99.9999998830022,204.75000023955297,261.4500003058907,106.96000012514082
2022,1,32575,31454,"Los Angeles, CA (Metropolitan Area)","Orlando, FL",2218,2652,223.51,DL,0.3461,252.32,UA,0.2273,208.19,2062270.0,0.888139999999999,-0.0548,7232690.0,0.9551,-0.0233,0.10077096483318304,99.9999998830022,223.51000026150174,252.3200002952088,208.19000024357769
2022,1,30397,30194,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2648,161.5,DL,0.4454,177.15,WN,0.1923,140.63,5324640.0,0.8866,0.1031,3003365.0,0.7158,0.04475,0.22093023255813954,99.9999998830022,161.50000018895142,177.1500002072616,140.63000016453398
2022,1,30977,33195,"Chicago, IL","Tampa, FL (Metropolitan Area)",1011,2641,177.2,WN,0.3235,164.82,NK,0.127,119.91,3429260.0,0.7898,-0.01385,2088435.0,0.95715,-0.26565,0.17527200791295747,99.9999998830022,177.20000020732007,164.82000019283575,119.91000014029204
2022,1,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,2601,204.22,AA,0.463,244.83,NK,0.1644,117.43,3003365.0,0.7158,0.04475,7232690.0,0.9551,-0.0233,0.20732994923857867,99.9999998830022,204.2200002389329,244.8300002864457,117.43000013739051
2022,1,30325,32467,"Denver, CO","Miami, FL (Metropolitan Area)",1709,2594,223.5,UA,0.3119,293.95,NK,0.1968,135.2,6154490.0,0.9555,-0.0282,4119170.0,0.9156,-0.03855,0.13077823288472792,99.9999998830022,223.50000026149007,293.950000343915,135.200000158181
2022,1,30977,30852,"Chicago, IL","Washington, DC (Metropolitan Area)",621,2566,158.19,UA,0.3733,170.06,WN,0.3546,139.71,3429260.0,0.7898,-0.01385,2001510.0,0.625366666666666,0.0405,0.25473429951690824,99.9999998830022,158.1900001850788,170.06000019896643,139.7100001634576
2022,1,32211,30559,"Las Vegas, NV","Seattle, WA",867,2557,166.29,AS,0.4529,187.11,NK,0.1311,107.3,6299930.0,0.99,-0.0975,3889610.0,0.4265,-0.0942,0.1917993079584775,99.9999998830022,166.2900001945556,187.11000021891456,107.30000012553863
2022,1,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2490,151.9,DL,0.4466,163.53,WN,0.245,132.49,5324640.0,0.8866,0.1031,3429260.0,0.7898,-0.01385,0.2506600660066007,99.9999998830022,151.90000017771965,163.53000019132648,132.4900001550104
2022,1,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,2490,169.49,WN,0.35,159.15,WN,0.35,159.15,2497550.0,0.8981,-0.0047,2062270.0,0.888139999999999,-0.0548,0.13646537842190018,99.9999998830022,169.49000019829955,159.150000186202,159.150000186202
2022,1,30721,31714,"Boston, MA (Metropolitan Area)","Fort Myers, FL",1271,2440,243.61,B6,0.5658,276.38,DL,0.1254,253.67,1584666.66666666,0.893266666666666,-0.00403333333333333,2740800.0,0.917,0.0409,0.1916679779701023,99.9999998830022,243.61000028501832,276.3800003233585,253.6700002967883
