iter	Passed	Remaining
1047	131946	497570
1048	132096	497532
1049	132265	497569
1050	132399	497475
1051	132527	497355
1052	132670	497294
1053	132798	497176
1054	132956	497168
1055	133119	497180
1056	133259	497108
1057	133386	496985
1058	133517	496877
1059	133670	496849
1060	133802	496748
1061	133932	496634
1062	134066	496538
1063	134215	496495
1064	134343	496375
1065	134465	496234
1066	134611	496181
1067	134736	496051
1068	134862	495927
1069	135001	495845
1070	135147	495793
1071	135299	495760
1072	135430	495653
1073	135554	495516
1074	135679	495388
1075	135798	495236
1076	135933	495142
1077	136079	495085
1078	136220	495014
1079	136363	494949
1080	136487	494815
1081	136614	494691
1082	136733	494539
1083	136888	494515
1084	137031	494449
1085	137173	494379
1086	137311	494295
1087	137443	494188
1088	137569	494064
1089	137694	493930
1090	137817	493794
1091	137953	493700
1092	138112	493690
1093	138286	493736
1094	138414	493614
1095	138539	493482
1096	138661	493340
1097	138785	493205
1098	138916	493096
1099	139047	492987
1100	139207	492979
1101	139332	492847
1102	139456	492711
1103	139609	492678
1104	139735	492550
1105	139865	492437
1106	139996	492327
1107	140144	492278
1108	140295	492237
1109	140431	492141
1110	140558	492017
1111	140683	491887
1112	140961	492290
1113	141168	492441
1114	141350	492507
1115	141482	492398
1116	141600	492244
1117	141724	492106
1118	141865	492030
1119	142000	491930
1120	142144	491864
1121	142288	491797
1122	142417	491678
1123	142544	491548
1124	142671	491423
1125	142797	491293
1126	142937	491211
1127	143122	491286
1128	143272	491237
1129	143398	491108
1130	143524	490976
1131	143647	490836
1132	143770	490696
1133	143948	490744
1134	144091	490674
1135	144225	490570
1136	144360	490471
1137	144487	490342
1138	144615	490219
1139	144739	490081
1140	144875	489987
1141	145026	489940
1142	145181	489909
1143	145324	489833
1144	145455	489719
1145	145585	489604
1146	145713	489481
1147	145836	489339
1148	145982	489277
1149	146122	489193
1150	146281	489172
1151	146409	489048
1152	146538	488928
1153	146667	488808
1154	146793	488675
1155	146929	488579
1156	147069	488495
1157	147227	488471
1158	147357	488353
1159	147500	488278
1160	147647	488214
1161	147758	488035
1162	147965	488171
1163	148181	488338
1164	148336	488301
1165	148466	488181
1166	148611	488112
1167	148733	487969
1168	148862	487846
1169	149014	487798
1170	149191	487836
1171	149325	487729
1172	149450	487594
1173	149578	487467
1174	149704	487336
1175	149834	487216
1176	149974	487131
1177	150116	487049
1178	150297	487096
1179	150422	486960
1180	150546	486821
1181	150681	486718
1182	150817	486620
1183	150949	486505
1184	151091	486423
1185	151252	486405
1186	151429	486436
1187	151584	486397
1188	151732	486333
1189	151874	486254
1190	152011	486154
1191	152165	486111
1192	152310	486039
1193	152435	485904
1194	152563	485777
1195	152687	485638
1196	152811	485498
1197	152951	485411
1198	153073	485263
1199	153276	485376
1200	153414	485279
1201	153560	485208
1202	153680	485057
1203	153817	484961
1204	153967	484901
1205	154111	484825
1206	154270	484796
1207	154412	484711
1208	154596	484760
1209	154737	484674
1210	154870	484562
1211	155003	484450
1212	155162	484418
1213	155287	484281
1214	155413	484149
1215	155542	484023
1216	155675	483911
1217	155797	483766
1218	155931	483657
1219	156068	483556
1220	156210	483471
1221	156335	483335
1222	156458	483193
1223	156581	483049
1224	156788	483163
1225	156943	483120
1226	157073	482997
1227	157285	483128
1228	157448	483106
1229	157600	483053
1230	157743	482967
1231	157867	482827
1232	157992	482690
1233	158153	482663
1234	158299	482589
1235	158428	482463
1236	158570	482378
1237	158695	482240
1238	158825	482116
1239	158958	482002
1240	159108	481942
1241	159235	481809
1242	159364	481683
1243	159502	481585
1244	159627	481445
1245	159755	481318
1246	159891	481211
1247	160036	481136
1248	160211	481147
1249	160336	481010
1250	160463	480877
1251	160585	480731
1252	160707	480582
1253	160841	480472
1254	160992	480413
1255	161197	480513
1256	161320	480366
1257	161445	480231
1258	161579	480118
1259	161704	479981
1260	161830	479844
1261	161967	479743
1262	162118	479679
1263	162260	479591
1264	162383	479449
1265	162506	479302
1266	162630	479163
1267	162755	479024
1268	162886	478903
1269	163025	478807
1270	163164	478709
1271	163295	478588
1272	163421	478452
1273	163547	478317
1274	163741	478382
1275	163897	478333
1276	164032	478223
1277	164198	478206
1278	164322	478063
1279	164442	477910
1280	164578	477805
1281	164705	477671
1282	164832	477539
1283	164985	477480
1284	165125	477385
1285	165270	477304
1286	165409	477207
1287	165539	477084
1288	165662	476938
1289	165786	476796
1290	165925	476697
1291	166063	476598
1292	166223	476559
1293	166354	476437
1294	166483	476310
1295	166619	476204
1296	166752	476086
1297	166881	475959
1298	167026	475876
1299	167173	475801
1300	167304	475678
1301	167428	475539
1302	167557	475409
1303	167679	475262
1304	167832	475202
1305	168051	475331
1306	168309	475569
1307	168546	475743
1308	168696	475676
1309	168861	475648
1310	169131	475916
1311	169303	475908
1312	169476	475902
1313	169622	475821
1314	169766	475733
1315	169917	475666
1316	170058	475569
1317	170204	475489
1318	170335	475362
1319	170458	475218
1320	170585	475081
1321	170745	475039
1322	170887	474946
1323	171032	474861
1324	171178	474777
1325	171311	474659
1326	171445	474542
1327	171566	474392
1328	171687	474240
1329	171816	474109
1330	171955	474008
1331	172107	473940
1332	172246	473839
1333	172384	473734
1334	172515	473611
1335	172642	473474
1336	172770	473340
1337	172903	473223
1338	173043	473124
1339	173193	473050
1340	173330	472942
1341	173455	472801
1342	173581	472663
1343	173706	472522
1344	173840	472406
1345	173989	472331
1346	174129	472230
1347	174265	472120
1348	174396	471995
1349	174568	471981
1350	174698	471853
1351	174839	471756
1352	175074	471912
1353	175230	471853
1354	175352	471703
1355	175474	471556
1356	175604	471427
1357	175727	471280
1358	175855	471147
1359	176009	471085
1360	176177	471056
1361	176307	470929
1362	176440	470810
1363	176565	470668
1364	176692	470531
1365	176818	470394
1366	176958	470293
1367	177098	470191
1368	177264	470157
1369	177398	470041
1370	177525	469905
1371	177648	469757
1372	177770	469610
1373	177899	469479
1374	178037	469370
1375	178192	469308
1376	178324	469185
1377	178454	469059
1378	178588	468940
1379	178714	468801
1380	178850	468690
1381	179021	468669
1382	179184	468625
1383	179317	468505
1384	179449	468381
1385	179571	468233
1386	179697	468094
1387	179826	467963
1388	179969	467868
1389	180134	467831
1390	180286	467761
1391	180410	467615
1392	180535	467474
1393	180659	467329
1394	180785	467190
1395	180920	467075
1396	181059	466969
1397	181205	466883
1398	181332	466747
1399	181475	466652
1400	181616	466551
1401	181764	466468
1402	181902	466359
1403	182031	466228
1404	182210	466225
1405	182347	466114
1406	182486	466008
1407	182615	465877
1408	182739	465733
1409	182877	465624
1410	183026	465544
1411	183192	465506
1412	183332	465402
1413	183461	465270
1414	183608	465184
1415	183811	465239
1416	183955	465146
1417	184216	465349
1418	184385	465317
1419	184543	465256
1420	184687	465164
1421	184808	465010
1422	184929	464858
1423	185059	464728
1424	185195	464612
1425	185326	464484
1426	185450	464341
1427	185574	464196
1428	185698	464051
1429	185826	463916
1430	185980	463847
1431	186141	463793
1432	186272	463667
1433	186396	463521
1434	186536	463415
1435	186669	463293
1436	186800	463167
1437	186931	463038
1438	187059	462904
1439	187207	462818
1440	187330	462672
1441	187457	462533
1442	187589	462408
1443	187717	462274
1444	187876	462214
1445	188010	462094
1446	188195	462099
1447	188328	461977
1448	188454	461836
1449	188582	461701
1450	188707	461559
1451	188852	461465
1452	188988	461350
1453	189157	461314
1454	189286	461181
1455	189414	461047
1456	189634	461134
1457	189829	461164
1458	189959	461033
1459	190109	460950
1460	190251	460848
1461	190394	460749
1462	190543	460663
1463	190696	460590
1464	190838	460487
1465	190982	460391
1466	191128	460297
1467	191259	460169
1468	191392	460044
1469	191530	459934
1470	191665	459814
1471	191889	459908
1472	192024	459790
1473	192180	459720
1474	192300	459565
1475	192413	459392
1476	192528	459226
1477	192648	459070
1478	192806	459008
1479	192957	458926
1480	193106	458840
1481	193237	458711
1482	193397	458649
1483	193522	458508
1484	193646	458362
1485	193785	458251
1486	193926	458146
1487	194077	458065
1488	194220	457963
1489	194345	457821
1490	194470	457677
1491	194598	457541
1492	194728	457409
1493	194967	457534
1494	195235	457726
1495	195465	457828
1496	195590	457684
1497	195716	457543
1498	195849	457416
1499	195987	457303
1500	196144	457235
1501	196277	457109
1502	196461	457102
1503	196592	456973
1504	196715	456825
1505	196843	456687
1506	196990	456593
1507	197133	456492
1508	197262	456356
1509	197388	456215
1510	197513	456072
1511	197638	455928
1512	197783	455830
1513	197915	455701
1514	198084	455659
1515	198227	455556
1516	198355	455419
1517	198504	455331
1518	198635	455201
1519	198762	455061
1520	198897	454939
1521	199029	454812
1522	199158	454676
1523	199279	454525
1524	199405	454383
1525	199527	454233
1526	199651	454087
1527	199806	454009
1528	199953	453917
1529	200121	453870
1530	200245	453724
1531	200370	453579
1532	200503	453454
1533	200626	453304
1534	200755	453172
1535	200890	453050
1536	201056	452998
1537	201205	452908
1538	201336	452779
1539	201510	452743
1540	201640	452612
1541	201759	452453
1542	202036	452650
1543	202164	452512
1544	202287	452363
1545	202410	452215
1546	202532	452064
1547	202651	451908
1548	202781	451774
1549	202925	451673
