Year,Quarter,city_1,city_2,state_1,state_2,nsmiles,passengers,fare_real,large_ms,fare_lg_real,carrier_low,lf_ms,fare_low_real,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2,median_income_1,median_income_2,metro_1,metro_2,TotalFaredTotal
2022,1,Miami,Philadelphia,FL,PA,1013,2888,170.64000019964502,0.7219,189.79000022205008,NK,0.1283,103.09000012061304,4119170.0,0.9156,-0.03855,2606160.0,0.7872,0.0448,69303.0,71798.0,True,False,6725330.0
2022,1,New York City,Phoenix,NY,AZ,2189,2886,262.4900003071075,0.3553,264.13000030902623,B6,0.1223,219.57000025689203,1973783.33333333,0.848399999999999,-0.0558333333333333,3088330.0,0.9727,-0.19665,79557.0,74568.0,True,False,5062113.33333333
2022,1,Chicago,Fort Myers,IL,FL,1120,2875,223.68000026170063,0.2969,230.2400002693757,NK,0.1254,141.72000016580927,3429260.0,0.7898,-0.01385,2740800.0,0.917,0.0409,76708.0,69303.0,False,False,6170060.0
2022,1,Chicago,Dallas/Fort Worth,IL,TX,801,2864,164.21000019212207,0.4226,196.80000023025167,WN,0.3785,131.5600001539223,3429260.0,0.7898,-0.01385,3003365.0,0.7158,0.04475,76708.0,72284.0,False,False,6432625.0
2022,1,Chicago,Denver,IL,CO,895,2844,160.88000018822603,0.3951,139.09000016273222,WN,0.3951,139.09000016273222,3429260.0,0.7898,-0.01385,6154490.0,0.9555,-0.0282,76708.0,89302.0,False,False,9583750.0
2022,1,Detroit,Orlando,MI,FL,957,2831,194.42000022746709,0.5837,242.55000028377816,NK,0.2817,116.49000013629072,2835510.0,0.7535,0.1007,7232690.0,0.9551,-0.0233,66986.0,69303.0,False,False,10068200.0
2022,1,Dallas/Fort Worth,Denver,TX,CO,651,2730,166.6400001949651,0.3853,186.72000021845827,F9,0.1125,96.33000011270396,3003365.0,0.7158,0.04475,6154490.0,0.9555,-0.0282,72284.0,89302.0,False,False,9157855.0
2022,1,Fort Myers,Minneapolis/St. Paul,FL,MN,1416,2697,222.4300002602382,0.5071,271.36000031748523,SY,0.4117,173.13000020255828,2740800.0,0.917,0.0409,3358700.0,0.768,0.0196,69303.0,82338.0,False,False,6099500.0
2022,1,Dallas/Fort Worth,Las Vegas,TX,NV,1067,2668,204.75000023955295,0.4445,261.4500003058907,F9,0.1079,106.96000012514082,3003365.0,0.7158,0.04475,6299930.0,0.99,-0.0975,72284.0,72333.0,False,False,9303295.0
2022,1,Los Angeles,Orlando,CA,FL,2218,2652,223.51000026150172,0.3461,252.3200002952088,UA,0.2273,208.19000024357769,2062270.0,0.888139999999999,-0.0548,7232690.0,0.9551,-0.0233,91551.0,69303.0,True,False,9294960.0
2022,1,Atlanta,Dallas/Fort Worth,GA,TX,731,2648,161.50000018895142,0.4454,177.1500002072616,WN,0.1923,140.63000016453398,5324640.0,0.8866,0.1031,3003365.0,0.7158,0.04475,72837.0,72284.0,True,False,8328005.0
2022,1,Chicago,Tampa,IL,FL,1011,2641,177.20000020732007,0.3235,164.82000019283575,NK,0.127,119.91000014029204,3429260.0,0.7898,-0.01385,2088435.0,0.95715,-0.26565,76708.0,69303.0,False,True,5517695.0
2022,1,Dallas/Fort Worth,Orlando,TX,FL,985,2601,204.2200002389329,0.463,244.8300002864457,NK,0.1644,117.43000013739052,3003365.0,0.7158,0.04475,7232690.0,0.9551,-0.0233,72284.0,69303.0,False,False,10236055.0
2022,1,Denver,Miami,CO,FL,1709,2594,223.50000026149007,0.3119,293.950000343915,NK,0.1968,135.200000158181,6154490.0,0.9555,-0.0282,4119170.0,0.9156,-0.03855,89302.0,69303.0,False,True,10273660.0
2022,1,Chicago,Washington,IL,DC,621,2566,158.1900001850788,0.3733,170.06000019896643,WN,0.3546,139.7100001634576,3429260.0,0.7898,-0.01385,2001510.0,0.625366666666666,0.0405,76708.0,101027.0,False,True,5430770.0
2022,1,Las Vegas,Seattle,NV,WA,867,2557,166.2900001945556,0.4529,187.11000021891456,NK,0.1311,107.30000012553865,6299930.0,0.99,-0.0975,3889610.0,0.4265,-0.0942,72333.0,91306.0,False,False,10189540.0
2022,1,Atlanta,Chicago,GA,IL,606,2490,151.90000017771965,0.4466,163.53000019132648,WN,0.245,132.4900001550104,5324640.0,0.8866,0.1031,3429260.0,0.7898,-0.01385,72837.0,76708.0,True,False,8753900.0
2022,1,Austin,Los Angeles,TX,CA,1242,2490,169.49000019829955,0.35,159.150000186202,WN,0.35,159.150000186202,2497550.0,0.8981,-0.0047,2062270.0,0.888139999999999,-0.0548,72284.0,91551.0,False,True,4559820.0
2022,1,Boston,Fort Myers,MA,FL,1271,2440,243.61000028501832,0.5658,276.3800003233585,DL,0.1254,253.6700002967883,1584666.66666666,0.893266666666666,-0.0040333333333333,2740800.0,0.917,0.0409,94488.0,69303.0,True,False,4325466.66666666
2022,1,Denver,Washington,CO,DC,1491,2431,208.9400002444552,0.4033,254.87000029819228,F9,0.2352,125.71000014707792,6154490.0,0.9555,-0.0282,2001510.0,0.625366666666666,0.0405,89302.0,101027.0,False,True,8156000.0
2022,1,Denver,San Francisco,CO,CA,967,2426,172.74000020210198,0.522,186.78000021852847,WN,0.3935,162.36000018995762,6154490.0,0.9555,-0.0282,1969430.0,0.843,-0.0436,89302.0,91551.0,False,True,8123920.0
2022,1,Dallas/Fort Worth,Washington,TX,DC,1217,2400,208.8200002443148,0.4928,237.5200002778932,WN,0.3227,184.630000216013,3003365.0,0.7158,0.04475,2001510.0,0.625366666666666,0.0405,72284.0,101027.0,False,True,5004875.0
2022,1,Boston,Tampa,MA,FL,1204,2389,197.8400002314684,0.3997,215.50000025213023,WN,0.1436,196.79000023023997,1584666.66666666,0.893266666666666,-0.0040333333333333,2088435.0,0.95715,-0.26565,94488.0,69303.0,True,True,3673101.66666666
2022,1,Boston,Los Angeles,MA,CA,2611,2371,307.22000035944063,0.2845,312.7800003659457,UA,0.163,266.6100003119278,1584666.66666666,0.893266666666666,-0.0040333333333333,2062270.0,0.888139999999999,-0.0548,94488.0,91551.0,True,True,3646936.66666666
2022,1,Dallas/Fort Worth,Miami,TX,FL,1121,2342,212.5400002486671,0.5703,254.5600002978296,NK,0.1778,119.59000013991766,3003365.0,0.7158,0.04475,4119170.0,0.9156,-0.03855,72284.0,69303.0,False,True,7122535.0
2022,1,Denver,Orlando,CO,FL,1546,2317,225.46000026378323,0.3601,273.0900003195092,F9,0.2793,131.4300001537702,6154490.0,0.9555,-0.0282,7232690.0,0.9551,-0.0233,89302.0,69303.0,False,False,13387180.0
2022,1,Dallas/Fort Worth,Phoenix,TX,AZ,879,2253,219.23000025649424,0.466,267.8500003133786,WN,0.4183,190.56000022295095,3003365.0,0.7158,0.04475,3088330.0,0.9727,-0.19665,72284.0,74568.0,False,False,6091695.0
2022,1,Denver,Houston,CO,TX,883,2245,179.45000020995252,0.4414,217.7600002547744,WN,0.4379,157.1400001838503,6154490.0,0.9555,-0.0282,2101435.0,0.82155,0.0049,89302.0,72284.0,False,False,8255925.0
2022,1,Houston,Miami,TX,FL,966,2240,169.72000019856864,0.3343,213.3000002495563,NK,0.1489,119.47000013977726,2101435.0,0.82155,0.0049,4119170.0,0.9156,-0.03855,72284.0,69303.0,False,True,6220605.0
2022,1,Denver,Las Vegas,CO,NV,628,2203,157.450000184213,0.4341,163.48000019126798,F9,0.1914,106.81000012496534,6154490.0,0.9555,-0.0282,6299930.0,0.99,-0.0975,89302.0,72333.0,False,False,12454420.0
2022,1,Chicago,Houston,IL,TX,945,2183,170.47000019944613,0.4245,204.0100002386872,WN,0.3741,141.99000016612516,3429260.0,0.7898,-0.01385,2101435.0,0.82155,0.0049,76708.0,72284.0,False,False,5530695.0
2022,1,Chicago,San Francisco,IL,CA,1855,2177,256.74000030038013,0.5778,274.33000032096004,WN,0.1565,224.89000026311632,3429260.0,0.7898,-0.01385,1969430.0,0.843,-0.0436,76708.0,91551.0,False,True,5398690.0
2022,1,New York City,Raleigh/Durham,NY,NC,459,2157,130.74000015296292,0.351,137.56000016094217,AA,0.2736,123.19000014412956,1973783.33333333,0.848399999999999,-0.0558333333333333,1597180.0,0.8312,-0.0358,79557.0,67481.0,True,False,3570963.33333333
2022,1,Atlanta,Las Vegas,GA,NV,1747,2154,238.0600002785249,0.555,309.8500003625177,NK,0.1843,113.24000013248828,5324640.0,0.8866,0.1031,6299930.0,0.99,-0.0975,72837.0,72333.0,True,False,11624570.0
2022,1,Tampa,Washington,FL,DC,842,2150,174.49000020414945,0.5115,162.06000018960663,WN,0.5115,162.06000018960663,2088435.0,0.95715,-0.26565,2001510.0,0.625366666666666,0.0405,69303.0,101027.0,True,True,4089945.0
2022,1,Charlotte,New York City,NC,NY,575,2143,177.28000020741368,0.617,183.68000021490155,DL,0.2211,157.37000018411942,2067270.0,0.4445,0.1579,1973783.33333333,0.848399999999999,-0.0558333333333333,67481.0,79557.0,False,True,4041053.33333333
2022,1,Boston,New York City,MA,NY,209,2101,115.11000013467616,0.356,116.39000013617373,B6,0.3333,105.72000012369006,1584666.66666666,0.893266666666666,-0.0040333333333333,1973783.33333333,0.848399999999999,-0.0558333333333333,94488.0,79557.0,True,True,3558449.9999999898
2022,1,Las Vegas,Minneapolis/St. Paul,NV,MN,1299,2083,180.9100002116607,0.5167,218.97000025619005,SY,0.3333,146.31000017117947,6299930.0,0.99,-0.0975,3358700.0,0.768,0.0196,72333.0,82338.0,False,False,9658630.0
2022,1,Houston,Las Vegas,TX,NV,1235,2070,197.02000023050903,0.3604,265.7800003109567,NK,0.2391,117.5200001374958,2101435.0,0.82155,0.0049,6299930.0,0.99,-0.0975,72284.0,72333.0,False,False,8401365.0
2022,1,New York City,San Diego,NY,CA,2481,2064,237.86000027829093,0.2795,248.4400002906693,AS,0.2632,183.99000021526425,1973783.33333333,0.848399999999999,-0.0558333333333333,3011950.0,0.8881,0.0164,79557.0,91551.0,True,False,4985733.33333333
2022,1,Detroit,Fort Myers,MI,FL,1084,2063,218.7700002559561,0.6467,268.49000031412737,NK,0.3151,116.81000013666512,2835510.0,0.7535,0.1007,2740800.0,0.917,0.0409,66986.0,69303.0,False,False,5576310.0
2022,1,Miami,Minneapolis/St. Paul,FL,MN,1501,2024,193.22000022606312,0.5132,225.5400002638768,SY,0.2812,152.49000017840993,4119170.0,0.9156,-0.03855,3358700.0,0.768,0.0196,69303.0,82338.0,True,False,7477870.0
2022,1,Nashville,New York City,TN,NY,803,2009,145.69000017045408,0.2397,164.0600001919466,WN,0.1845,126.8300001483883,2329440.0,0.9555,-0.0109,1973783.33333333,0.848399999999999,-0.0558333333333333,65254.0,79557.0,False,True,4303223.33333333
2022,1,Houston,Orlando,TX,FL,854,2002,175.10000020486314,0.4212,204.04000023872229,NK,0.1686,115.67000013533136,2101435.0,0.82155,0.0049,7232690.0,0.9551,-0.0233,72284.0,69303.0,False,False,9334125.0
2022,1,Austin,New York City,TX,NY,1559,1994,212.86000024904152,0.2964,219.8900002572664,B6,0.1562,191.88000022449532,2497550.0,0.8981,-0.0047,1973783.33333333,0.848399999999999,-0.0558333333333333,72284.0,79557.0,False,True,4471333.33333333
2022,1,Atlanta,Houston,GA,TX,696,1982,175.70000020556512,0.4615,192.10000022475276,WN,0.2782,145.3400001700446,5324640.0,0.8866,0.1031,2101435.0,0.82155,0.0049,72837.0,72284.0,True,False,7426075.0
2022,1,Atlanta,Denver,GA,CO,1199,1976,204.1600002388627,0.484,242.29000028347397,F9,0.1108,101.43000011867086,5324640.0,0.8866,0.1031,6154490.0,0.9555,-0.0282,72837.0,89302.0,True,False,11479130.0
2022,1,New York City,Salt Lake City,NY,UT,2022,1936,347.4900004065556,0.5567,386.9700004527464,B6,0.1625,276.430000323417,1973783.33333333,0.848399999999999,-0.0558333333333333,2838780.0,0.7884,0.2019,79557.0,89168.0,True,False,4812563.33333333
2022,1,Dallas/Fort Worth,San Francisco,TX,CA,1476,1921,230.1200002692353,0.5597,246.99000028897285,WN,0.2703,194.3500002273852,3003365.0,0.7158,0.04475,1969430.0,0.843,-0.0436,72284.0,91551.0,False,True,4972795.0
2022,1,San Diego,Seattle,CA,WA,1050,1906,177.4300002075892,0.6494,175.6500002055066,AS,0.6494,175.6500002055066,3011950.0,0.8881,0.0164,3889610.0,0.4265,-0.0942,91551.0,91306.0,False,False,6901560.0
2022,1,Boston,Chicago,MA,IL,867,1903,138.07000016153884,0.2909,154.71000018100727,DL,0.1974,122.3900001431936,1584666.66666666,0.893266666666666,-0.0040333333333333,3429260.0,0.7898,-0.01385,94488.0,76708.0,True,False,5013926.66666666
2022,1,Houston,Washington,TX,DC,1246,1886,219.44000025673995,0.4731,260.3300003045803,WN,0.3683,189.2500002214183,2101435.0,0.82155,0.0049,2001510.0,0.625366666666666,0.0405,72284.0,101027.0,False,True,4102945.0
2022,1,Atlanta,Orlando,GA,FL,404,1879,175.25000020503862,0.6663,202.00000023633552,WN,0.1567,139.58000016330553,5324640.0,0.8866,0.1031,7232690.0,0.9551,-0.0233,72837.0,69303.0,True,False,12557330.0
2022,1,Las Vegas,Miami,NV,FL,2174,1857,220.55000025803864,0.3755,293.55000034344704,F9,0.1175,115.30000013489844,6299930.0,0.99,-0.0975,4119170.0,0.9156,-0.03855,72333.0,69303.0,False,True,10419100.0
2022,1,San Francisco,Washington,CA,DC,2457,1852,315.04000036858986,0.6114,340.5000003983775,AS,0.1259,265.4600003105823,1969430.0,0.843,-0.0436,2001510.0,0.625366666666666,0.0405,91551.0,101027.0,True,True,3970940.0
2022,1,Portland,San Francisco,OR,CA,569,1800,155.14000018151037,0.6628,150.44000017601147,AS,0.6628,150.44000017601147,1865740.0,0.6854,0.0208,1969430.0,0.843,-0.0436,75657.0,91551.0,False,True,3835170.0
2022,1,Detroit,Tampa,MI,FL,983,1754,181.4800002123276,0.6636,208.8200002443148,NK,0.2615,112.37000013147042,2835510.0,0.7535,0.1007,2088435.0,0.95715,-0.26565,66986.0,69303.0,False,True,4923945.0
2022,1,Minneapolis/St. Paul,Tampa,MN,FL,1307,1752,182.6800002137316,0.5147,216.9500002538267,SY,0.3875,144.160000168664,3358700.0,0.768,0.0196,2088435.0,0.95715,-0.26565,82338.0,69303.0,False,True,5447135.0
2022,1,Salt Lake City,San Francisco,UT,CA,599,1736,168.51000019715298,0.5962,174.70000020439514,WN,0.2448,142.26000016644105,2838780.0,0.7884,0.2019,1969430.0,0.843,-0.0436,89168.0,91551.0,False,True,4808210.0
2022,1,New Orleans,New York City,LA,NY,1218,1733,195.45000022867217,0.327,222.6100002604488,NK,0.1094,115.97000013568234,1864050.0,0.9656,-0.0352,1973783.33333333,0.848399999999999,-0.0558333333333333,55416.0,79557.0,False,True,3837833.33333333
2022,1,Boston,West Palm Beach/Palm Beach,MA,FL,1222,1727,222.78000026064768,0.7349,224.9100002631397,DL,0.1503,223.6100002616188,1584666.66666666,0.893266666666666,-0.0040333333333333,1440510.0,0.837,0.1833,94488.0,69303.0,True,False,3025176.66666666
2022,1,Boston,San Francisco,MA,CA,2704,1714,297.780000348396,0.3208,326.6200003821382,AS,0.1104,218.1100002551839,1584666.66666666,0.893266666666666,-0.0040333333333333,1969430.0,0.843,-0.0436,94488.0,91551.0,True,True,3554096.66666666
